"Diuron","Mecoprop","Terbutryn","Benzothiazol","Zn","Cu"
3387.6314852704,28091.7886215272,2366.13298520048,150591.589967113,94981680.6602204,25651208.7711728
4627.46777930476,7699.82125735098,2597.5977121832,207583.770896959,130922100.106821,32421380.3711975
3793.58642791269,12543.9794724179,3364.05346254928,208001.072911532,64607440.9849735,44746930.3565913
2524.67163273625,30539.7532281644,3761.40730467796,183223.881612504,110559707.931124,32856369.4360174
3727.31518446041,15606.7927836671,2410.39750837915,148552.805668503,106543643.841508,37802240.6680103
11322.0784871159,26820.0690200358,3384.51571756192,131918.382643561,125934490.352648,29877602.4289152
6481.13494126458,74594.685959783,5244.53030925694,204689.251831494,77948891.8252577,32821219.1867798
2027.95539864315,39494.6388591715,6037.89211794389,222105.138041375,91598682.1816856,19144571.5869342
2761.56574260954,50702.8381122874,2719.76352982769,149721.932129447,80310639.5494432,24040184.9783124
6638.56687125981,23543.084195469,1689.81612874483,191853.510907751,87681367.8538559,73529122.8749203
3196.53313063215,63146.8136534685,2701.7700975774,315981.726039861,81031579.9452222,94925962.9095695
3366.68250651506,198375.842714279,3089.86894508736,205357.179039708,104137398.803941,21293825.9302267
5300.48038328548,22764.7694654012,3161.20416785997,172452.335463215,90597880.7697985,25849780.1697127
5770.66907934376,81307.9538251701,4431.3120466444,193380.926103425,100524721.83765,34277708.5520402
4438.37003803574,50610.42038472,2448.7413610006,166361.683958339,72046692.4676726,17193742.8246378
2040.27435015516,30920.0977563659,2052.97861047307,224933.822209231,78327451.311113,29252063.6042541
2558.21953368039,28943.9501493479,2263.69170271248,188915.47836857,146386934.232937,37267966.3569943
17920.7990572572,13777.3050157671,1655.8976941316,150551.284480312,110994932.245437,34294473.3198648
3290.17589874962,27664.9272968871,1855.49950675223,234393.811245205,112867497.274097,26657733.5156066
2141.82586644798,41121.3352020791,4978.68261973281,180681.585432178,72945063.0730488,36503465.1839127
3079.90275961373,25509.5438788146,3563.62294100393,175159.798241079,109918498.211336,26293208.4452737
2416.47127172568,26639.4430126074,1481.32623273265,175556.969512547,143191756.166639,28750026.6399214
4532.18510939607,33822.2425885874,2058.38851853917,149761.53590056,119130422.835644,23646464.4119505
8240.2825301871,19215.6971513155,4218.26426506058,182597.844062867,108520885.689748,35139828.8983133
16300.8910475487,16835.8832163021,1364.46804256872,190069.574772822,153992223.860291,21912003.3476015
7734.84226152496,9831.18459189943,2616.58689890459,224764.698924023,94202179.3117414,20785473.141901
3376.93179377289,59338.2653592227,2841.66469439384,174371.582543052,120839805.600468,33075912.3037815
5474.18905842804,32262.0263110935,3647.24511526691,192851.513778385,121272527.208187,20289836.9580218
2826.22889431539,13757.5662373647,5114.85837510268,179337.804667228,94918564.6706695,41709744.3223973
944.207602094473,39680.6654261712,3300.22593509706,150890.766849694,111584669.856147,38252852.2446634
4058.91817317412,25024.684312872,2489.41111738907,239905.485226162,134505890.09593,38373065.771889
3572.41610545627,35837.2543569658,5272.5653113112,138997.392714915,96215257.5456963,50824047.8902381
4512.47391394868,22012.0854190204,2736.25888210268,180939.428157998,126843360.339973,46251081.2179046
2592.71563371457,26846.515409296,3670.46174619517,258523.580873123,98523978.5074714,28341719.6026638
4845.01334714253,17928.9181133282,2505.74638562556,170960.457412791,91852837.3322479,45675762.5277212
2020.21877949361,42328.8549305434,5032.29935446354,121940.123944117,95157076.4943639,36724515.2789292
3666.8071524254,36759.7315231097,2156.44859504179,148834.325902614,98455610.2239643,39250907.1774527
4200.08658935217,33580.3617576253,2890.12010080629,143014.49048426,71026085.9209988,35486828.1154222
5726.60460376557,43935.4214248596,2068.10497809226,147780.083460317,114869099.381365,36355786.111185
2860.35554663239,22084.1032860854,2177.93372295684,149510.14388311,89651413.8288491,28193907.2349305
4131.40378382904,34056.5948534171,4237.55895118689,157864.173914667,74481614.3422415,24992012.7724724
8581.11526825131,25636.4256455484,1573.28249978811,173707.650883303,120367905.964605,28122590.8970025
7184.2627998396,63989.1852554439,2582.21034781733,154465.929443212,91151150.0023177,22653631.0477234
15461.5938953827,34722.5188373089,3781.51457819272,197734.656232706,101469086.429217,20332376.9782897
3595.01741151137,32462.8230349275,2431.80679099806,125926.116602342,102114390.877851,23465925.2332711
3225.64376316163,61018.9523054824,2899.80387612757,175777.417725381,68581837.6229848,52865611.4763825
1753.57031973064,8511.21756096788,1590.6144473784,190009.996888328,176485501.610151,22994260.4958058
3431.28067742187,45958.7592330262,6457.96053405033,199901.432515419,131401072.958222,23688723.2261529
2791.27847132894,17944.2373095733,2391.41846069517,121463.06725343,94086282.1945358,28516636.6159871
1826.38047997157,14661.3373318586,1838.48612929726,153141.314636987,113696372.751864,35132388.6510084
3486.23446344441,48144.0404437147,3570.44199029917,239379.789514678,91064361.764833,27345095.2832405
4902.03154086283,75198.4810704876,3350.10363908559,257599.36146508,115016623.861239,19308286.5588048
4574.71523774829,102469.659355932,3588.86191038815,131826.456324238,111644592.128824,24972329.8662277
6731.86062080354,104851.305353999,2644.97803590339,239287.765072282,126568077.205497,33293761.7855873
4414.71100007929,10840.6342951602,3642.66369431247,174527.372988662,114068036.835171,23132917.3080617
1719.14592825648,18901.9015255478,3391.73010632185,190940.376769602,92725073.2153024,20780297.4518306
7717.85104736751,19672.1099346733,2817.71025447615,212880.532865549,110530053.569247,25145343.2037755
2931.97004221571,92830.5923392787,2896.13203739073,188271.439897421,115199105.128849,31075240.8829493
