source;Diuron;Mecoprop;Terbutryn;Benzothiazol;Zn;Cu
Dach;0;1.163045013;0.705119352;0.567719052;0.562397927;0.502411061
Strasse;0;1.163045013;0.705119352;0.567719052;0.562397927;0.502411061
Hof;0;1.163045013;0.705119352;0.567719052;0.562397927;0.502411061
Putzfassade;0;1.163045013;0.705119352;0.567719052;0.562397927;0.502411061
