"load_Dach","load_Strasse","load_Hof","load_Putzfassade","load_total"
33930.3891956374,101739.197115443,0,0,135669.58631108
28974.684527035,74817.5466381116,0,0,103792.231165147
39432.5704747885,95414.2715702792,0,0,134846.842045068
39274.6374963847,93666.1982372368,0,0,132940.835733622
63179.9623683461,83798.2669848549,0,0,146978.229353201
45955.1191478996,101577.990655663,0,0,147533.109803562
34834.7162907142,127277.581113795,0,0,162112.297404509
64139.2909021179,317772.447222789,0,0,381911.738124907
44826.9166781715,145764.901563344,0,0,190591.818241515
45598.4177921469,64641.0914793733,0,0,110239.50927152
37166.141739546,133080.378994957,0,0,170246.520734503
42961.9062563106,99854.3090410751,0,0,142816.215297386
38944.2112965635,170558.761401087,0,0,209502.97269765
25046.7223615829,132467.287612459,0,0,157514.009974042
81546.6484073847,343497.575008298,0,0,425044.223415683
84248.0481396463,61294.3020734982,0,0,145542.350213144
19497.8089114082,91859.8323369208,0,0,111357.641248329
28294.6891444129,68318.1291250842,0,0,96612.818269497
31802.1527241476,79104.626453186,0,0,110906.779177334
83507.0351255793,174247.288457101,0,0,257754.32358268
54960.8919542594,78923.0329368276,0,0,133883.924891087
28963.3371979931,224475.018838873,0,0,253438.356036866
38475.5120038886,76482.2282349225,0,0,114957.740238811
27174.6631360117,156055.656434613,0,0,183230.319570624
46118.6441149801,168037.139558992,0,0,214155.783673972
30492.9258941033,97851.154291957,0,0,128344.08018606
65013.0333165594,199829.708958598,0,0,264842.742275158
40424.9645645674,146951.412583203,0,0,187376.377147771
35797.8957867303,107035.886350464,0,0,142833.782137194
31812.0073465082,203596.485253902,0,0,235408.49260041
23714.9966300483,887545.25752629,0,0,911260.254156339
43393.823573691,170688.072058872,0,0,214081.895632563
43968.3369000735,88091.3272313029,0,0,132059.664131376
37543.5839906522,96520.5927560334,0,0,134064.176746686
84792.691332855,72037.7436089855,0,0,156830.43494184
30156.6556300004,147881.50963164,0,0,178038.165261641
33218.8965946185,157569.15057624,0,0,190788.047170859
35601.3382576915,65377.8445600733,0,0,100979.182817765
28834.6707178685,68917.9318905646,0,0,97752.6026084331
33433.0970560758,137551.471647214,0,0,170984.56870329
30165.6333762844,140526.733337425,0,0,170692.366713709
39747.7763102483,65870.9585336026,0,0,105618.734843851
63162.2913109492,60421.3766132653,0,0,123583.667924214
60319.6617226687,129009.909129226,0,0,189329.570851895
41620.8650123703,87736.3709501671,0,0,129357.235962537
59596.0546733697,215499.282708806,0,0,275095.337382176
43530.4392551027,60087.8775235975,0,0,103618.3167787
62085.8624223297,198688.283460788,0,0,260774.145883118
31967.0712112283,122250.777748827,0,0,154217.848960055
32039.8398093927,88162.1457532397,0,0,120201.985562632
31973.928849129,85217.3390402204,0,0,117191.267889349
34242.2589662385,73071.441460464,0,0,107313.700426703
41461.651950819,75393.1132972406,0,0,116854.76524806
35642.3263280902,138887.101850207,0,0,174529.428178298
50431.0464340118,154987.176435283,0,0,205418.222869295
35671.3866150571,334901.85114294,0,0,370573.237757997
30236.6253606288,72356.7684249431,0,0,102593.393785572
25801.2938553445,102066.224486713,0,0,127867.518342057
32627.1487309665,61688.2898689487,0,0,94315.4385999153
24924.3782503601,101749.754463557,0,0,126674.132713917
51105.5779845709,100271.593165587,0,0,151377.171150158
34255.786067487,117520.32944709,0,0,151776.115514577
38546.9001219911,113173.885200528,0,0,151720.785322519
25272.3953960937,98561.8863815602,0,0,123834.281777654
25707.0549753004,112492.314907207,0,0,138199.369882508
38575.0045078638,128287.164292642,0,0,166862.168800506
35869.0553701277,143046.830223468,0,0,178915.885593596
67342.1652893983,54227.2997732446,0,0,121569.465062643
31209.2958112325,88518.7325157018,0,0,119728.028326934
25242.4159925696,129506.506954676,0,0,154748.922947246
27642.5783254557,74328.912716894,0,0,101971.49104235
28905.6972772234,139645.942843175,0,0,168551.640120399
29908.9817625063,97786.9249347803,0,0,127695.906697287
51180.132439607,79491.6646914686,0,0,130671.797131076
22718.5728394522,167856.094548857,0,0,190574.667388309
30281.8904625032,318454.38799245,0,0,348736.278454954
28106.427576493,154869.287765281,0,0,182975.715341774
69164.7552682181,75682.6199985236,0,0,144847.375266742
48942.5409847831,155207.569892452,0,0,204150.110877235
47164.2829063086,139413.975241245,0,0,186578.258147553
32204.0004089004,73187.0416666053,0,0,105391.042075506
26564.615706326,90756.8821321627,0,0,117321.497838489
29432.3729592596,143124.145962615,0,0,172556.518921874
43237.8096259613,76335.0590574201,0,0,119572.868683381
35422.9570885253,118056.020072963,0,0,153478.977161488
26557.1065384361,183541.002874402,0,0,210098.109412838
88418.1893328025,155159.205178292,0,0,243577.394511095
43271.9245428687,141391.255161029,0,0,184663.179703898
37514.9923566073,370731.542243446,0,0,408246.534600054
25726.1448053864,78447.4922645297,0,0,104173.637069916
23270.2183282213,125354.623184636,0,0,148624.841512857
21828.723723552,108151.382417999,0,0,129980.106141551
37068.9243243635,141149.454738705,0,0,178218.379063069
53092.482625551,78750.8535306935,0,0,131843.336156245
30888.0710407192,177528.517118329,0,0,208416.588159048
42876.179928424,150215.999656786,0,0,193092.17958521
55826.862228086,106736.155143115,0,0,162563.017371201
23808.992501541,116699.304017411,0,0,140508.296518952
71118.6255078011,132319.059326699,0,0,203437.6848345
