"OgRe_Type";"Fl_Dach";"Fl_Hof";"Fl_Str";"Fl_PutzFass";"Runoff_Dach";"Runoff_Hof";"Runoff_Str";"Runoff_PutzFass";"Load_Cu";"Load_Zn";"Load_Benzothiazol";"Load_Diuron";"Load_Mecoprop";"Load_Terbutryn"
"ALT";74366.244166;31347.713201;41654.3074534277;12310;40078.6281498495;11040.5363215239;14950.0937662324;23.8706482484358;4.47404369912016;64.3566464780089;0.0235357659810331;0.0122989923189336;0.063530163693734;0.00582714971171319
"NEU";27819.85365;23234.149144;16242.4270524816;1820;14565.1420662246;6981.27724895214;5370.64421708211;3.52921038279067;2.06650867304397;3.83166643207387;0.00891040958053476;0;0.0167548901949184;0.000301254720413682
"EFH";13456.720258;4522.21347;13886.5688690568;870;7644.10305469413;1472.6843429839;4230.62769272523;1.6870401280373;1.36374771404649;3.89660118691141;0.0048513144026834;0.00125640620117377;0.00507236065797031;0.00142590635500317
"GEW";124417.206395;101974.822564;27093.9094634743;7420;66419.6132803086;37397.2125763822;9090.4191918732;14.3883192529158;72.7195048839188;223.194812027679;0.0651996177084331;0.00296415633638233;0.0305440263026486;0.00424653092153925
