year;runoffS;runoffO;runoffW;runoffN
1995;0.762060197125642;1.02700601360156;1.24911326113513;0.701189221501822
1996;2.1301650999895;1.58967954379997;5.19052449833773;1.33729492951781
1998;4.83475939607263;1.89233744235476;7.59922297998472;2.1110124833802
1999;2.79957570875452;0.838856289996498;5.6350944548114;1.06968557063229
2000;3.00134581575922;1.74897279355776;8.22375759773721;1.71875214780838
2001;3.65977903270998;1.36385076714775;8.02148316335971;1.47869757416684
2002;8.06368373381323;3.40525065991471;7.90921383910177;2.46224910932979
2003;3.01916176808816;1.37308895097202;4.83840988732887;0.968854782987144
2004;4.05025291142968;1.41821466013894;4.83400997810906;1.04597257517231
2005;3.92175218172831;2.30736760668982;9.65198617981828;1.5126573670355
2006;2.91545524331739;0.89833674686327;4.78340754167432;1.10568011742188
2007;6.59583005291583;2.99751233334607;16.1636929522312;3.10911333533054
2008;4.77460197393075;1.79548170839421;10.9134486561663;1.82899313788024
2013;2.52906726374089;2.31286084320513;8.00526430065025;2.34856767600355
2015;2.80581186318137;1.77971198244601;4.99600652806265;1.24748983683576
2016;1.98718308869166;1.54070635882911;5.04261317193474;1.31657662950628
2017;5.98257764539062;4.17293828141376;31.7667487991163;5.22048864668847
2018;3.30443488292648;1.11491423585346;4.95768503861074;1.11596841006436
2019;3.08057535102866;2.11689073083883;5.9951955575668;1.35906766358136
