tBegRain;tEndRain;Regenhöhe_mm;Anzahl_Ereignisse;Regenschreiber;Lufttemperatur_gradC_mean;Lufttemperatur_gradC_SD;analysierte_Flasche;Wind_v_mean_m_s;Wind_v_StAbw;Windrichtung_mean_Grad;Windrichtung_StAbw;areaRinne_m2;specQ;AFS;Zn;Zn_gel.;Cu;Cu_gel.;Pb;Ti;V;V_gel.;Cr;Ni;Al;Al_gel.;Cd;BIT;Carbendazim;Diuron;Diuron_desmethyl;Isoproturon;MCPA;Mecoprop;OIT;Propiconazol;Tebuconazol;Terbumeton;Terbutryn;Terbutryn_desethyl;Terbuthylazin;Terbuthylazin-desethyl;Terbutryn-2-hydroxy;Thiabendazol;IPBC;MIT;Tributyl-phosphat;Triphenyl-phosphat;Tris-(2-chlorethyl)-phosphat;Tris-(chlorisopropyl)-phosphat;Tris-(1,3-dichloro-2-propyl)-phosphat;Tris-(2-butoxyethyl)-phosphat;Benzotriazol;Tolyltriazole;PFOA;PFOS;2-(Methylthio)-benzothiazol
2018-09-23 08:30:00;2018-09-23 23:25:00;14.8;1;BBW;9.8377840909090892;0.90648996480695598;N;5.7;1.2;193.4;135;16.2;0.0395061728395062;NA;190;NA;9.8000000000000007;NA;5.8;54;7.7;NA;2.2000000000000002;<3,0;NA;NA;<0,5;NA;0.37;1400;440;190;NA;<0,02;NA;<0,025;<0,03;1.2;14;34.1;<0,025;NA;290;<0,025;NA;NA;<0,10;<0,10;<0,10;0.26;<0,10;<0,10;7.0000000000000007E-2;0.03;<0,01;<0,05;NA
2018-11-13 04:45:00;2018-11-13 16:55:00;10.1;1;BBW;10.3;0.8;W;2.9140625;0.87;231;13.5;14.88;0.0403225806451613;NA;140;NA;13;NA;<0,50;<2;5.2;NA;1;<3,0;NA;NA;<0,5;<0,025;0.3;2900;950;2.97;0.03;<0,02;460;0.04;<0,025;<0,025;<0,025;0.05;0.03;NA;7.96;<0,025;0.6;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-02-10 09:45:00;2019-02-11 11:00:00;12.4;1;BBW;5.8408602150537599;2.05772928138401;W;8.1;1.26;208.81720430107501;51.752692901277101;11.04;0.205615942028986;NA;75;NA;5.5;NA;0.68;2.5;2.2000000000000002;NA;<0,5;<3,0;NA;NA;NA;<0,025;7.9000000000000001E-2;1000;400;0.21;<0,025;<0,025;660;6.0999999999999999E-2;<0,025;<0,025;0.13;3.5999999999999997E-2;<0,025;NA;0.73;<0,025;0.61;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-03-09 06:20:00;2019-03-11 11:00:00;22.5;2;BBW;4.2;2.3343579969800099;W;6.8;3.5;235;97.5;11.04;0.643115942028985;42;33;NA;<5,0;NA;<0,5;<2,0;1.4;NA;<0,5;<3,0;NA;NA;NA;<0,050;0.1;1200;440;0.21;<0,025;<0,025;570;3.5999999999999997E-2;<0,025;<0,025;0.1;3.9E-2;<0,025;NA;0.78;<0,025;0.22;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-04-26 23:25:00;2019-04-27 02:05:00;9.5;1;BBW;10.8;0.14000000000000001;W;7.3642857142857103;1.1390665158244799;295.357142857143;12.003891310462899;11.04;0.138586956521739;NA;190;190;12;10;0.63;3;1.2;1.1000000000000001;<0,5;<3,0;NA;NA;<0,5;<0,050;0.06;810;350;0.12;<0,025;<0,025;450;0.04;5.5E-2;<0,025;<0,025;0.03;6.9000000000000006E-2;NA;<0,025;<0,025;0.06;0.33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-05-16 00:10:00;2019-05-17 04:00:00;10.8;2;BBW;8.5;1.1599999999999999;N;4.4000000000000004;1;143;155.9;16.2;0.103703703703704;NA;610;740;<5,0;<5,0;<0,5;<2,0;5.5;5.5;<0,5;NA;NA;NA;NA;<0,050;0.25;850;240;96;<0,025;<0,025;420;<0,025;<0,025;0.39;12;23;4.4999999999999998E-2;NA;90;<0,025;29;0.12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-05-16 00:10:00;2019-05-17 04:00:00;10.8;2;BBW;8.5;1.1599999999999999;W;4.4000000000000004;1;143;155.9;11.04;0.0135869565217391;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;<0,050;<0,025;62;26;7.3999999999999996E-2;<0,025;<0,025;<0,1;<0,025;<0,025;<0,025;<0,025;<0,025;6.7000000000000004E-2;NA;0.18;<0,025;<0,05;<0,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-05-20 15:30:00;2019-05-20 22:05:00;42.3;1;BBW;17.2;0.26;W;3.1;0.7;186.3;133.6;11.04;0.22463768115942;NA;350;190;<5,0;<5,0;0.79;3.4;1.1000000000000001;1;<0,5;NA;NA;NA;NA;<0,050;0.03;500;220;6.7000000000000004E-2;<0,025;<0,025;51;<0,025;<0,025;<0,025;3.3000000000000002E-2;<0,025;8.2000000000000003E-2;NA;0.21;<0,025;<0,05;5.1999999999999998E-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-06-06 14:20:00;2019-06-06 20:40:00;19.5;1;BBW;17.100000000000001;2.16;W;5.4;0.99;284;17;11.04;0.326086956521739;NA;280;180;<5,0;<5,0;<0,50;<2,0;NA;NA;<0,50;NA;NA;NA;NA;<0,050;0.05;720;310;0.11;<0,025;<0,025;260;2.5000000000000001E-2;3.5999999999999997E-2;<0,025;4.5999999999999999E-2;2.5999999999999999E-2;0.28999999999999998;NA;0.55000000000000004;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-06-12 17:40:00;2019-06-13 07:30:00;8.1;2;BBW;17.899999999999999;0.59;W;5.5;2.7;252;47;11.04;0.452898550724638;NA;78;34;<5,0;<5,0;<0,50;2.6;NA;NA;<0,50;NA;NA;NA;NA;<0,050;7.0999999999999994E-2;900;270;0.12;<0,025;<0,025;400;2.7E-2;4.9000000000000002E-2;<0,025;6.9000000000000006E-2;2.8000000000000001E-2;0.38;NA;0.61;<0,025;<0,050;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
