tBegRain;tEndRain;Regenhöhe_mm;Anzahl_Ereignisse;Regenschreiber;Luft-temperatur_gradC_mean;Luft-temperatur_gradC_SD;analysierte_Flasche;Wind_v_mean_m_s;Wind_v_StAbw;Windrichtung_mean_Grad;Windrichtung_SD;areaRinne_m2;specQ;AFS;Zn;Zn_gel.;Cu;Cu_gel.;Pb;Ti;V;V_gel.;Cr;Ni;Al;Al_gel.;Cd;BIT;Carbendazim;Diuron;Diuron_desmethyl;Isoproturon;MCPA;Mecoprop;OIT;Propiconazol;Tebuconazol;Terbumeton;Terbutryn;Terbutryn_desethyl;Terbuthylazin;Terbuthylazin-desethyl;Terbutryn-2-hydroxy;Thiabendazol;IPBC;MIT;Tributyl-phosphat;Triphenyl-phosphat;Tris-(2-chlorethyl)-phosphat;Tris-(chlorisopropyl)-phosphat;Tris-(1,3-dichloro-2-propyl)-phosphat;Tris-(2-butoxyethyl)-phosphat;Benzotriazol;Tolyltriazole;PFOA;PFOS;2-(Methylthio)-benzothiazol
2019-07-29 15:50:00;2019-07-29 19:15:00;43.9;1;BlnX;21.9;0.43;W;2.9;1.92;315.5;20.43;12.25;0.852244897959184;NA;140;NA;6.1;NA;<0,50;NA;0.43;NA;NA;NA;NA;NA;NA;9.5000000000000001E-2;3.9E-2;9.9000000000000005E-2;8.8999999999999996E-2;<0,025;0.38;<0,025;1.2;<0,025;<0,025;0.18;16;14;9.5000000000000001E-2;NA;53;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-08-26 18:00:00;2019-08-26 20:00:00;13.5;1;BlnX;22.5;0.16;W;1.1000000000000001;0.28999999999999998;117.5;134.27000000000001;12.25;0.0530612244897959;NA;880;NA;13;NA;3.8;NA;1.3;NA;NA;NA;NA;NA;NA;<0,050;9.1999999999999998E-2;0.18;0.21;<0,025;0.08;<0,025;0.56999999999999995;0.03;<0,025;0.59;32;37;0.15;NA;230;<0,025;<0,050;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-09-27 07:20:00;2019-09-30 10:00:00;30.4;3;BlnX;15;1.01;W;4.7;3.15;239;42.25;12.25;0.970612244897959;NA;100;NA;<5,0;NA;<0,50;NA;0.27;NA;NA;NA;NA;NA;NA;<0,050;6.3E-2;0.19;0.17;<0,025;4.1000000000000002E-2;<0,025;0.41;<0,025;<0,025;0.24;12;17;0.14000000000000001;NA;74;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-10-01 05:00:00;2019-10-02 08:45:00;14;1;BlnX;10.4;2.75;W;4.2;1.37;271.39999999999998;83.17;12.25;0.25469387755102;NA;120;NA;<5,0;NA;<0,50;NA;0.24;NA;NA;NA;NA;NA;NA;<0,050;3.1E-2;0.15;0.12;<0,025;2.8000000000000001E-2;<0,025;1;<0,025;<0,025;9.8000000000000004E-2;7;9.5;9.9000000000000005E-2;NA;27;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-12-14 11:10:00;2019-12-15 11:30:00;5.2;2;BlnXI;4.5;2.02;W;5.4;1.23;220.7;18.32;12.25;0.0326530612244898;NA;860;NA;15;NA;<0,50;NA;0.24;NA;NA;NA;NA;NA;NA;<0,050;<0,025;0.16;0.12;<0,025;0.16;2.5999999999999999E-2;0.33;<0,025;<0,025;0.23;10;11;0.11;NA;56;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-01-09 01:30:00;2020-01-11 00:50:00;8.9;2;BlnX;8.8000000000000007;1.55;W;4.2;1.32;214.6;28.05;12.25;0.0326530612244898;NA;620;NA;20;NA;0.5;NA;0.51;NA;NA;NA;NA;NA;NA;<0,050;5.7000000000000002E-2;0.26;0.18;<0,025;0.15;<0,025;0.73;<0,025;<0,025;0.14000000000000001;14;22;0.16;NA;51;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-01-27 21:30:00;2020-01-29 02:50:00;11.5;2;BlnX;5;1.26;W;6.9;1.69;219.4;28.13;12.25;0.0522448979591837;NA;1000;NA;23;NA;0.56999999999999995;NA;0.34;NA;NA;NA;NA;NA;NA;<0,050;<0,025;0.1;0.08;<0,025;<0,025;<0,025;<0,10;<0,025;<0,025;3.5999999999999997E-2;2.9;3.2;0.03;NA;11;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-02-09 21:00:00;2020-02-11 17:00:00;12.6;2;BlnX;7.9;1.95;W;8.1999999999999993;2.06;244.9;17.23;12.25;1.21795918367347;NA;76;NA;5.4;NA;<0,50;NA;0.19;NA;NA;NA;NA;NA;NA;<0,050;<0,025;9.6000000000000002E-2;6.6000000000000003E-2;<0,025;<0,025;<0,025;1;<0,025;<0,025;<0,025;3.4;3.2;0.03;NA;5.2;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-02-09 21:00:00;2020-02-11 17:00:00;12.6;2;BlnX;7.9;1.95;N;8.1999999999999993;2.06;244.9;17.23;16.975;0.136671575846834;NA;190;NA;13;NA;<0,50;NA;4.2;NA;NA;NA;NA;NA;NA;<0,050;0.03;0.25;0.13;5.5;1.1000000000000001;2.8000000000000001E-2;2.2000000000000002;<0,025;<0,025;0.49;44;47;0.26;NA;79;<0,025;0.17;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-02-22 19:10:00;2020-02-23 21:40:00;13.9;2;BlnX;6.4;0.48;W;3.1;2;234.9;89.97;12.25;0.107755102040816;NA;340;NA;8.1999999999999993;NA;<0,50;NA;0.27;NA;NA;NA;NA;NA;NA;<0,050;3.1E-2;0.13;8.5000000000000006E-2;<0,025;0.09;<0,025;0.4;<0,025;<0,025;6.4000000000000001E-2;5;8.1;8.7999999999999995E-2;NA;21;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-02-22 19:10:00;2020-02-23 21:40:00;13.9;2;BlnX;6.4;0.48;N;3.1;2;234.9;89.97;16.975;0.0936671575846834;NA;260;NA;7.2;NA;<0,50;NA;1.7;NA;NA;NA;NA;NA;NA;<0,050;3.4000000000000002E-2;0.16;0.12;1.1000000000000001;0.37;<0,025;0.45;<0,025;<0,025;0.21;29;45;0.24;NA;52;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-03-09 14:45:00;2020-03-11 03:40:00;9.8;2;BlnXI;7.8;1;W;6.3;1.25;211.4;20.05;12.25;0.375510204081633;NA;230;NA;6;NA;<0,50;NA;0.39;NA;NA;NA;NA;NA;NA;<0,050;3.6999999999999998E-2;0.17;0.14000000000000001;<0,025;5.2999999999999999E-2;<0,025;1.3;<0,025;<0,025;4.8000000000000001E-2;4.7;7.2;7.0000000000000007E-2;NA;18;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-03-09 14:45:00;2020-03-11 03:40:00;9.8;2;BlnXI;7.8;1;N;6.3;1.25;211.4;20.05;20.65;0.0164648910411622;NA;890;NA;15;NA;1.2;NA;0.92;NA;NA;NA;NA;NA;NA;<0,050;<0,025;0.11;9.2999999999999999E-2;0.2;0.31;<0,025;0.69;<0,025;<0,025;0.22;10;21;0.12;NA;45;<0,025;<0,050;<0,050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
