tBegRain;tEndRain;Regenhöhe_mm;Anzahl_Ereignisse;Regenschreiber;Lufttemperatur_gradC_mean;Lufttemperatur_gradC_SD;analysierte_Flasche;Wind_v_mean_m_s;Wind_v_StAbw;Windrichtung_mean_Grad;Windrichtung_StAbw;areaRinne_m2;specQ;AFS;Zn;Zn_gel.;Cu;Cu_gel.;Pb;Ti;V;V_gel.;Cr;Ni;Al;Al_gel.;Cd;BIT;Carbendazim;Diuron;Diuron_desmethyl;Isoproturon;MCPA;Mecoprop;OIT;Propiconazol;Tebuconazol;Terbumeton;Terbutryn;Terbutryn_desethyl;Terbuthylazin;Terbuthylazin-desethyl;Terbutryn-2-hydroxy;Thiabendazol;IPBC;MIT;Tributyl-phosphat;Triphenyl-phosphat;Tris-(2-chlorethyl)-phosphat;Tris-(chlorisopropyl)-phosphat;Tris-(1,3-dichloro-2-propyl)-phosphat;Tris-(2-butoxyethyl)-phosphat;Benzotriazol;Tolyltriazole;PFOA;PFOS;2-(Methylthio)-benzothiazol
2018-09-23 08:30:00;2018-09-23 23:25:00;14.8;1;BBW;9.8377840909090892;0.90648996480695598;N;5.7;1.2;193.4;135;16.2;0.0395061728395062;NA;7.50617283950617;NA;0.38716049382716;NA;0.229135802469136;2.13333333333333;0.304197530864197;NA;0.0869135802469136;0;NA;NA;0;NA;0.0146172839506173;55.3086419753086;17.3827160493827;7.50617283950617;NA;0;NA;0;0;0.0474074074074074;0.553086419753086;1.34716049382716;0;NA;11.4567901234568;0;NA;NA;0;0;0;0.0102716049382716;0;0;0.00276543209876543;0.00118518518518518;0;0;NA
2018-11-13 04:45:00;2018-11-13 16:55:00;10.1;1;BBW;10.3;0.8;W;2.9140625;0.87;231;13.5;14.88;0.0403225806451613;NA;5.64516129032258;NA;0.524193548387097;NA;0;0;0.209677419354839;NA;0.0403225806451613;0;NA;NA;0;0;0.0120967741935484;116.935483870968;38.3064516129032;0.119758064516129;0.00120967741935484;0;18.5483870967742;0.00161290322580645;0;0;0;0.00201612903225806;0.00120967741935484;NA;0.320967741935484;0;0.0241935483870968;0.92741935483871;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-02-10 09:45:00;2019-02-11 11:00:00;12.4;1;BBW;5.8408602150537599;2.05772928138401;W;8.1;1.26;208.81720430107501;51.752692901277101;11.04;0.205615942028986;NA;15.4211956521739;NA;1.13088768115942;NA;0.13981884057971;0.514039855072464;0.452355072463768;NA;0;0;NA;NA;NA;0;0.0162436594202899;205.615942028986;82.2463768115942;0.043179347826087;0;0;135.70652173913;0.0125425724637681;0;0;0.0267300724637681;0.00740217391304348;0;NA;0.150099637681159;0;0.125425724637681;0.411231884057971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-03-09 06:20:00;2019-03-11 11:00:00;22.5;2;BBW;4.2;2.3343579969800099;W;6.8;3.5;235;97.5;11.04;0.643115942028985;27.0108695652174;21.2228260869565;NA;0;NA;0;0;0.90036231884058;NA;0;0;NA;NA;NA;0;0.0643115942028985;771.739130434783;282.971014492754;0.135054347826087;0;0;366.576086956522;0.0231521739130435;0;0;0.0643115942028985;0.0250815217391304;0;NA;0.501630434782609;0;0.141485507246377;0.192934782608696;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-04-26 23:25:00;2019-04-27 02:05:00;9.5;1;BBW;10.8;0.14000000000000001;W;7.3642857142857103;1.1390665158244799;295.357142857143;12.003891310462899;11.04;0.138586956521739;NA;26.3315217391304;26.3315217391304;1.66304347826087;1.38586956521739;0.0873097826086957;0.415760869565217;0.166304347826087;0.152445652173913;0;0;NA;NA;0;0;0.00831521739130435;112.255434782609;48.5054347826087;0.0166304347826087;0;0;62.3641304347826;0.00554347826086957;0.00762228260869565;0;0;0.00415760869565217;0.0095625;NA;0;0;0.00831521739130435;0.0457336956521739;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-05-16 00:10:00;2019-05-17 04:00:00;10.8;2;BBW;8.5;1.1599999999999999;N;4.4000000000000004;1;143;155.9;16.2;0.103703703703704;NA;63.2592592592593;76.7407407407407;0;0;0;0;0.57037037037037;0.57037037037037;0;NA;NA;NA;NA;0;0.0259259259259259;88.1481481481481;24.8888888888889;9.95555555555555;0;0;43.5555555555556;0;0;0.0404444444444444;1.24444444444444;2.38518518518518;0.00466666666666667;NA;9.33333333333333;0;3.00740740740741;0.0124444444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-05-16 00:10:00;2019-05-17 04:00:00;10.8;2;BBW;8.5;1.1599999999999999;W;4.4000000000000004;1;143;155.9;11.04;0.0135869565217391;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0.842391304347826;0.353260869565217;0.0010054347826087;0;0;0;0;0;0;0;0;0.000910326086956522;NA;0.00244565217391304;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-05-20 15:30:00;2019-05-20 22:05:00;42.3;1;BBW;17.2;0.26;W;3.1;0.7;186.3;133.6;11.04;0.22463768115942;NA;78.6231884057971;42.6811594202899;0;0;0.177463768115942;0.763768115942029;0.247101449275362;0.22463768115942;0;NA;NA;NA;NA;0;0.00673913043478261;112.31884057971;49.4202898550725;0.0150507246376812;0;0;11.4565217391304;0;0;0;0.00741304347826087;0;0.0184202898550725;NA;0.0471739130434783;0;0;0.0116811594202899;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-06-06 14:20:00;2019-06-06 20:40:00;19.5;1;BBW;17.100000000000001;2.16;W;5.4;0.99;284;17;11.04;0.326086956521739;NA;91.304347826087;58.695652173913;0;0;0;0;NA;NA;0;NA;NA;NA;NA;0;0.016304347826087;234.782608695652;101.086956521739;0.0358695652173913;0;0;84.7826086956522;0.00815217391304348;0.0117391304347826;0;0.015;0.00847826086956522;0.0945652173913043;NA;0.179347826086957;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019-06-12 17:40:00;2019-06-13 07:30:00;8.1;2;BBW;17.899999999999999;0.59;W;5.5;2.7;252;47;11.04;0.452898550724638;NA;35.3260869565217;15.3985507246377;0;0;0;1.17753623188406;NA;NA;0;NA;NA;NA;NA;0;0.0321557971014493;407.608695652174;122.282608695652;0.0543478260869565;0;0;181.159420289855;0.0122282608695652;0.0221920289855072;0;0.03125;0.0126811594202899;0.172101449275362;NA;0.276268115942029;0;0;0.0905797101449275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
