tBegRain;tEndRain;Regenhöhe_mm;Anzahl_Ereignisse;Regenschreiber;Lufttemperatur_gradC_mean;Lufttemperatur_gradC_SD;tBegHydraul;tEndHydraul;Abflussvol_l;AFS;Zn;Zn_gel.;Cu;Cu_gel.;Pb;Ti;V;V_gel.;Cr;Ni;Al;Al_gel.;Cd;BIT;Carbendazim;Diuron;Diuron_desmethyl;Isoproturon;MCPA;Mecoprop;OIT;Propiconazol;Tebuconazol;Terbumeton;Terbutryn;Terbutryn_desethyl;Terbuthylazin;Terbuthylazin-desethyl;Terbutryn-2-hydroxy;Thiabendazol;IPBC;MIT;Tributyl-phosphat;Triphenyl-phosphat;Tris-(2-chlorethyl)-phosphat;Tris-(chlorisopropyl)-phosphat;Tris-(2-butoxyethyl)-phosphat;Tris-(1,3-dichloro-2-propyl)-phosphat;Benzotriazol;Tolyltriazole;PFOA;PFOS;2-(Methylthio)-benzothiazol;Diethylhexylphthalat
2018-09-23 08:30:00;2018-09-23 23:25:00;14.8;1;BBW;9.8377840909090892;0.90648996480695598;2018-09-23 14:08:00;2018-09-24 01:40:00;27487;9.6;110;NA;5.5;NA;0.57999999999999996;<2,0;2.8;NA;<0,5;<3,0;84;NA;<0,5;0.24;< 0,025;0.86;0.14000000000000001;< 0,025;<0,03;0.42;0.18;0.11;<0,03;0;0.87;0.08;<0,025;NA;1.2;<0,025;NA;NA;<0,10;<0,10;<0,10;0.52;<0,10;<0,10;7.0000000000000007E-2;0.06;<0,01;<0,05;0.44;0.63
2018-11-13 04:45:00;2018-11-13 16:55:00;10.1;1;BBW;10.3;0.8;2018-11-13 07:30:00;2018-11-13 17:20:00;6312;2.4;240;NA;<5,0;NA;<0,50;6.6;<2,0;NA;<0,5;<3,0;190;NA;<0,5;<0,025;<0,025;0.83;0.16;<0,025;6.56;7.86;0.1;7.0000000000000007E-2;<0,025;<0,025;<0,025;<0,025;<0,025;NA;0.56999999999999995;<0,025;<0,025;<0,025;<0,10;<0,10;<0,10;NA;NA;NA;<0,05;0.04;0.04;<0,05;0.26;NA
2019-04-26 23:25:00;2019-04-27 02:05:00;9.5;1;BBW;10.8;0.14000000000000001;2019-04-26 23:30:00;2019-04-27 07:20:00;17700;29;350;460;25;21;2.6;12;3.1;NA;0.97;3.1;300;80;<0,5;<0,05;0.04;0.41;0.15;<0,025;7.3;62;0.13;0.64;0.03;<0,025;1.1000000000000001;<0,025;8.1000000000000003E-2;NA;0.66;<0,025;<0,050;<0,050;<0,10;NA;<0,10;0.24;<0,10;<0,10;7.0000000000000007E-2;0.03;0.03;<0,05;<0,05;NA
2019-05-16 00:10:00;2019-05-17 04:00:00;10.8;2;BBW;8.5;1.1599999999999999;2019-05-16 02:50:00;2019-05-16 14:10:00;11782;3.5;120;56;8.1999999999999993;8.1;<0,50;<2,0;1.9;NA;<0,50;NA;34;12;NA;<0,05;<0,025;0.45;0.11;<0,025;1.7;14;0.18;0.18;<0,025;<0,025;0.76;3.7999999999999999E-2;<0,025;NA;<0,025;<0,025;<0,050;<0,050;<0,10;<0,10;<0,10;0.19;<0,10;NA;<0,05;0.03;0.02;<0,05;0.17;NA
2019-05-20 15:30:00;2019-05-20 22:05:00;42.3;1;BBW;17.2;0.26;2019-05-20 16:05:00;2019-05-20 20:55:00;52500;23;71;58;<5,0;<5,0;2;13;2.4;NA;0.87;NA;310;29;NA;<0,05;<0,025;2.1;0.69;<0,025;2.2999999999999998;16;0.25;0.1;<0,025;<0,025;1.1000000000000001;5.1999999999999998E-2;0.12;NA;0.39;<0,025;<0,05;<0,05;NA;NA;<0,10;0.56999999999999895;NA;<0,10;0.06;0.03;0.01;<0,05;NA;NA
2019-06-06 14:20:00;2019-06-06 20:40:00;19.5;1;BBW;17.100000000000001;2.16;2019-06-06 19:20:00;2019-06-06 20:45:00;33800;11;74;20;12;5.7;2.6;11;1.6;NA;0.78;NA;210;16;NA;<0,050;2.7E-2;0.55000000000000004;0.25;<0,025;1.6;9.5;0.36;0.63;<0,025;<0,025;0.83;3.9E-2;0.22;NA;0.35;<0,025;<0,050;<0,050;NA;NA;<0,10;0.16;NA;<0,10;<0,05;0.03;<0,01;<0,05;0.27;NA
2019-06-12 17:40:00;2019-06-13 07:30:00;8.1;2;BBW;17.899999999999999;0.59;2019-06-12 17:40:00;2019-06-13 00:30:00;11000;17;170;40;20;9.3000000000000007;5.3;34;NA;NA;2;NA;730;21;NA;5.5E-2;4.1000000000000002E-2;2.5;0.8;5.3999999999999999E-2;2.8;32;0.51;0.5;3.5999999999999997E-2;<0,025;1.5;6.9000000000000006E-2;0.47;NA;0.46;<0,025;<0,050;<0,050;NA;NA;<0,10;0.25;NA;0.24;0.06;0.03;<0,01;<0,05;0.3;NA
2019-07-06 18:35:00;2019-07-06 21:10:00;7.6;1;BBW;16.3;0.15;2019-07-06 19:00:00;2019-07-06 21:10:00;11900;11;370;NA;14;NA;1.1000000000000001;NA;5;NA;NA;NA;200;NA;NA;<0,050;<0,025;0.23;0.11;<0,025;4.0999999999999996;48;<0,10;0.11;<0,025;<0,025;0.77;5.7000000000000002E-2;3.1E-2;NA;0.84;<0,025;<0,050;<0,050;NA;NA;<0,10;0.61;NA;NA;7.0000000000000007E-2;0.05;<0,01;<0,05;1;NA
2019-07-20 21:50:00;2019-07-21 00:05:00;11.3;1;BBW;17.8;0.22;2019-07-20 21:50:00;2019-07-21 20:00:00;21458;10;130;NA;9.3000000000000007;NA;1.1000000000000001;NA;3;NA;NA;NA;100;NA;NA;<0,050;2.5999999999999999E-2;0.56999999999999995;0.26;<0,025;3.4;16;<0,10;0.22;<0,025;<0,025;0.97;7.0000000000000007E-2;2.5999999999999999E-2;NA;0.65;NA;<0,050;<0,050;NA;NA;<0,10;0.28000000000000003;NA;<0,10;0.06;0.04;0.04;<0,05;0.26;NA
2019-08-02 15:15:00;2019-08-02 17:40:00;36.9;1;BBW;17.5;0.65;2019-08-02 15:20:00;2019-08-02 18:00:00;70364;25;54;NA;8;NA;1.8;NA;1.7;NA;NA;NA;150;NA;NA;<0,050;<0,025;0.54;0.26;<0,025;0.96;4.8;<0,10;0.27;<0,025;<0,025;0.45;3.1E-2;<0,025;NA;0.35;<0,025;<0,050;<0,050;NA;NA;<0,10;0.34;NA;0.34;<0,05;<0,03;NA;<0,05;0.24;NA
2019-08-18 06:00:00;2019-08-18 20:45:00;10.2;1;BBW;19.3;1.49;2019-08-18 07:50:00;2019-08-18 23:40:00;13664;61;97;NA;17;NA;4.3;NA;2.7;NA;NA;NA;410;NA;NA;<0,050;3.4000000000000002E-2;0.35;0.22;<0,025;2;8;<0,10;0.28999999999999998;<0,025;<0,025;0.91;5.1999999999999998E-2;<0,025;NA;0.57999999999999996;<0,025;<0,050;<0,050;NA;NA;<0,10;0.47;NA;NA;0.09;0.06;0.06;<0,05;0.71;NA
