year;runoffS;runoffO;runoffW;runoffN
1995;0.728715519973479;0.992494785701343;1.19282536079828;0.684895984264624
1996;2.06881739692154;1.55871979083954;5.0571700471097;1.33119812159045
1998;4.75578765087301;1.88320099999291;7.39035656923415;2.1218020000408
1999;2.79178074708133;0.958407992257192;5.55436870000365;1.1775928227767
2000;2.90690010840767;1.73707089482315;8.08665563138621;1.71879968860802
2001;3.53986033584026;1.40646295041765;7.85170947462188;1.51596716807764
2002;7.71759650397096;3.17439688298376;7.61790909247805;2.3176651926053
2003;2.93227593461003;1.35918357798097;4.70319656486206;1.00233793261364
2004;3.97674458888985;1.47614968520877;4.6919384394998;1.13514673811479
2005;3.74986685608653;2.21202985534467;9.36115811898395;1.46653975303747
2006;2.79864439565982;0.935761100179985;4.61034507768684;1.14140678761068
2007;6.30687256391048;2.85388608388594;15.7300137994829;2.95645780819741
2008;4.57100586353006;1.73621805494579;10.6031321077607;1.77046343848022
2013;2.3810203426577;2.21262612096977;7.73653117273717;2.25994151913907
2015;2.74322456500593;1.78536089852708;4.81255651596594;1.30551805382154
2016;1.93184512181463;1.52717453407048;4.83456391199425;1.34053314593089
2017;5.3616638841739;3.68257699797885;30.9947955864232;4.66027982015538
2018;3.16640615801202;1.08583107593271;4.76640513532685;1.10331136130672
2019;2.93980893137312;2.05822420636395;5.7496014278102;1.3449985067465
