Group.1;x
1995;4.18265491716556
1996;10.5068542995416
1998;17.0119076645951
1999;11.6746246354337
2000;14.8343126129658
2001;14.8819765015807
2002;22.834533876739
2003;11.047408089734
2004;13.1792765326075
2005;16.3840356280927
2006;11.1542743452251
2007;26.3884948264539
2008;18.2086025564983
2013;15.0011002592105
2015;12.5260799159548
2016;11.434211825247
2017;36.3083398303141
2018;11.076077265127
2019;13.5215227362045
