"ALT","NEU","EFH","GEW","AND"
0.265501777172148,0.148029595413842,0.0208846396210813,0.134604124290521,0.0615320409631706
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.265501777172148,0.148029595413842,0.0208846396210813,0.134604124290521,0.0615320409631706
