"Source";"Konz_Cu";"Konz_Zn";"Konz_Benzothiazol";"Konz_Diuron";"Konz_Mecoprop";"Konz_Terbutryn"
"Dach";0.041400450660154;1.39168819773914;0.000126383583126298;0;0.00158513818028406;0
"Strasse";0.188277777777778;0.573888888888889;0.00114214285714286;0;0;0
"Hof";0;0;0.000126383583126298;0;0;0
"Putzfassade";0;0;0;0.515234952605005;0;0.244113593022972
