source;Diuron;Mecoprop;Terbutryn;Benzothiazol;Zn;Cu
Dach;1.512100232;1.341599771;0.493098568;0.576948487;1.114650485;1.586358146
Strasse;1.512100232;1.341599771;0.493098568;0.576948487;1.114650485;1.586358146
Hof;1.512100232;1.341599771;0.493098568;0.576948487;1.114650485;1.586358146
Putzfassade;1.512100232;1.341599771;0.493098568;0.576948487;1.114650485;1.586358146
