source;Diuron;Mecoprop;Terbutryn;Benzothiazol;Zn;Cu
Dach;0.84980939;1.208496906;0.803692026;0.458649634;0.43557972;0.469654315
Strasse;0.84980939;1.208496906;0.803692026;0.458649634;0.43557972;0.469654315
Hof;0.84980939;1.208496906;0.803692026;0.458649634;0.43557972;0.469654315
Putzfassade;0.84980939;1.208496906;0.803692026;0.458649634;0.43557972;0.469654315
